,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,4248000000.0,1911000000.0,980000000.0,4400000000.0,3314000000.0,,
Repayment Of Debt,-1500000000.0,-1000000000.0,-2500000000.0,0.0,-2200000000.0,,
Issuance Of Debt,,,,0.0,0.0,0.0,0.0
Capital Expenditure,-436000000.0,-369000000.0,-411000000.0,-371000000.0,-257000000.0,,
End Cash Position,9445000000.0,8028000000.0,8810000000.0,11973000000.0,9011000000.0,,
Beginning Cash Position,8028000000.0,8810000000.0,11973000000.0,9011000000.0,9301000000.0,,
Changes In Cash,1417000000.0,-782000000.0,-3163000000.0,2962000000.0,-290000000.0,,
Financing Cash Flow,-2853000000.0,-2673000000.0,-4107000000.0,-1407000000.0,-3651000000.0,,
Cash Flow From Continuing Financing Activities,-2853000000.0,-2673000000.0,-4107000000.0,-1407000000.0,-3651000000.0,,
Net Other Financing Charges,-71000000.0,-393000000.0,-328000000.0,-2000000.0,-241000000.0,,
Cash Dividends Paid,-1282000000.0,-1280000000.0,-1279000000.0,-1205000000.0,-1210000000.0,,
Common Stock Dividend Paid,-1282000000.0,-1280000000.0,-1279000000.0,-1205000000.0,-1210000000.0,,
Net Issuance Payments Of Debt,-1500000000.0,-1000000000.0,-2500000000.0,0.0,-2200000000.0,,
Net Long Term Debt Issuance,-1500000000.0,-1000000000.0,-2500000000.0,0.0,-2200000000.0,,
Long Term Debt Payments,-1500000000.0,-1000000000.0,-2500000000.0,0.0,-2200000000.0,,
Long Term Debt Issuance,,,,0.0,0.0,0.0,0.0
Investing Cash Flow,-414000000.0,-389000000.0,-447000000.0,-402000000.0,-210000000.0,,
Cash Flow From Continuing Investing Activities,-414000000.0,-389000000.0,-447000000.0,-402000000.0,-210000000.0,,
Net Other Investing Changes,22000000.0,-20000000.0,-36000000.0,-31000000.0,47000000.0,,
Net Investment Purchase And Sale,,,,0.0,0.0,0.0,0.0
Sale Of Investment,,,,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-436000000.0,-369000000.0,-411000000.0,-371000000.0,-257000000.0,,
Purchase Of PPE,-436000000.0,-369000000.0,-411000000.0,-371000000.0,-257000000.0,,
Operating Cash Flow,4684000000.0,2280000000.0,1391000000.0,4771000000.0,3571000000.0,,
Cash Flow From Continuing Operating Activities,4684000000.0,2280000000.0,1391000000.0,4771000000.0,3571000000.0,,
Change In Working Capital,1663000000.0,-759000000.0,-1016000000.0,2079000000.0,856000000.0,,
Change In Other Working Capital,,,-388000000.0,,,,-1370000000.0
Change In Other Current Liabilities,-10000000.0,8000000.0,-78000000.0,21000000.0,-39000000.0,,
Change In Other Current Assets,-283000000.0,-206000000.0,-201000000.0,-14000000.0,-299000000.0,,
Change In Payables And Accrued Expense,-553000000.0,-673000000.0,671000000.0,1176000000.0,955000000.0,,
Change In Payable,510000000.0,-1736000000.0,671000000.0,-110000000.0,201000000.0,,
Change In Account Payable,-174000000.0,589000000.0,497000000.0,-232000000.0,-122000000.0,,
Change In Tax Payable,684000000.0,-2325000000.0,174000000.0,122000000.0,323000000.0,,
Change In Income Tax Payable,684000000.0,-2325000000.0,174000000.0,122000000.0,323000000.0,,
Change In Inventory,240000000.0,239000000.0,288000000.0,323000000.0,681000000.0,,
Change In Receivables,222000000.0,-515000000.0,-1308000000.0,473000000.0,-342000000.0,,
Changes In Account Receivables,222000000.0,-515000000.0,-1308000000.0,473000000.0,-342000000.0,,
Other Non Cash Items,-28000000.0,-23000000.0,-50000000.0,-9000000.0,175000000.0,,
Stock Based Compensation,127000000.0,157000000.0,85000000.0,134000000.0,136000000.0,,
Asset Impairment Charge,400000000.0,0.0,800000000.0,,,0.0,68000000.0
Deferred Tax,-30000000.0,-422000000.0,-250000000.0,-334000000.0,-110000000.0,,
Deferred Income Tax,-30000000.0,-422000000.0,-250000000.0,-334000000.0,-110000000.0,,
Depreciation Amortization Depletion,1307000000.0,1341000000.0,1387000000.0,1397000000.0,1396000000.0,,
Depreciation And Amortization,1307000000.0,1341000000.0,1387000000.0,1397000000.0,1396000000.0,,
Depreciation,1307000000.0,1341000000.0,1387000000.0,1397000000.0,1396000000.0,,
Operating Gains Losses,-1971000000.0,554000000.0,-1295000000.0,877000000.0,-1644000000.0,,
Earnings Losses From Equity Investments,,,,1000000.0,28000000.0,-12000000.0,-27000000.0
Gain Loss On Investment Securities,,554000000.0,-1295000000.0,876000000.0,-1633000000.0,401000000.0,
Net Income From Continuing Operations,3216000000.0,1432000000.0,1730000000.0,627000000.0,2830000000.0,,
